update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
,,,,,,,,,,,,,,,,
1,256,36.37429586,7,0,0,0,0,1.730597675,-0.075377818,-0.014554922,9.34E-05,0.063304083,0,0,0,0
,,,,,,,,,,,,,,,,
2,512,44.78078618,12,0,0,0,0,1.859018683,-0.048971718,-0.014110753,7.95E-05,0.055900213,0,0,0,0
,,,,,,,,,,,,,,,,
3,768,45.35970867,18,0,0,0,0,1.909765124,-0.039844962,-0.011159697,4.09E-05,0.025086689,0,0,0,0
,,,,,,,,,,,,,,,,
4,1024,46.85001545,23,0,0,0,0,1.92700088,-0.035760971,-0.007287699,3.08E-06,0.030845516,0,0,0,0
,,,,,,,,,,,,,,,,
5,1280,46.89327756,29,0,0,0,0,1.933917761,-0.033481738,-0.009981857,1.89E-05,0.019858189,0,0,0,0
,,,,,,,,,,,,,,,,
6,1536,47.76731422,34,0,0,0,0,1.938762188,-0.018202575,-0.005984472,4.68E-06,0.013524491,0,0,0,0
,,,,,,,,,,,,,,,,
7,1792,44.92553388,40,-1,0,-1,-1,1.889410615,-0.083432861,0.099973481,0.032873421,0.124937038,-1,0,-1,-1
,,,,,,,,,,,,,,,,
8,2048,47.26587341,45,-1,0,-1,-1,1.917134881,-0.018437524,-0.009365893,1.74E-05,0.029948441,-1,0,-1,-1
,,,,,,,,,,,,,,,,
9,2304,46.75794281,51,0,0,0,0,1.922522068,-0.019921261,-0.008297607,4.20E-05,0.046740324,0,0,0,0
,,,,,,,,,,,,,,,,
10,2560,46.51191242,56,0,0,0,0,1.911436915,-0.021380403,-0.008923583,2.24E-05,0.024857489,0,0,0,0
,,,,,,,,,,,,,,,,
11,2816,46.45991866,62,0,0,0,0,1.921837568,-0.011962937,-0.003577681,5.93E-06,0.026750844,0,0,0,0
,,,,,,,,,,,,,,,,
12,3072,46.99121232,67,0,0,0,0,1.932387173,-0.008389108,-0.001644294,4.21E-06,0.010881159,0,0,0,0
,,,,,,,,,,,,,,,,
13,3328,44.09820362,73,0,0,0,0,1.936310291,-0.008124986,-0.00304863,1.05E-06,0.007097062,0,0,0,0
,,,,,,,,,,,,,,,,
14,3584,45.0016303,79,0,0,0,0,1.941514552,-0.009553499,-0.001844748,1.24E-06,0.00516185,0,0,0,0
,,,,,,,,,,,,,,,,
15,3840,45.17477455,84,0,0,0,0,1.936289787,-0.008018932,-0.002986388,5.38E-06,0.006455343,0,0,0,0
,,,,,,,,,,,,,,,,
16,4096,43.20964639,90,-1,0,-1,-1,1.881196141,-0.065788608,0.049085131,0.015538811,0.037511713,-1,0,-1,-1
,,,,,,,,,,,,,,,,
17,4352,42.63457785,96,-0.5,0.5,-1,0,1.881914914,-0.08082284,0.032668867,0.018829672,0.064039212,-0.5,0.5,-1,0
,,,,,,,,,,,,,,,,
18,4608,43.307399,102,-1,0,-1,-1,1.822537959,-0.175663181,0.037056025,0.010253165,0.095968628,-1,0,-1,-1
,,,,,,,,,,,,,,,,
19,4864,44.56928883,108,-1,0,-1,-1,1.867701173,-0.115691043,-0.020761996,0.00458345,0.145387807,-1,0,-1,-1
,,,,,,,,,,,,,,,,
20,5120,45.27480207,114,0,0,0,0,1.869243264,-0.078183491,-0.02423614,0.000134264,0.045566596,0,0,0,0
,,,,,,,,,,,,,,,,
21,5376,44.62401046,119,0,0,0,0,1.872349322,-0.07175868,-0.022641264,0.000101856,0.06226633,0,0,0,0
,,,,,,,,,,,,,,,,
22,5632,45.18558398,125,0,0,0,0,1.855002403,-0.076478645,-0.019398381,5.36E-05,0.034456405,0,0,0,0
,,,,,,,,,,,,,,,,
23,5888,43.78283402,131,0,0,0,0,1.887561917,-0.059285203,-0.017724417,2.89E-05,0.017463139,0,0,0,0
,,,,,,,,,,,,,,,,
24,6144,41.47434106,137,0,0,0,0,1.896880627,-0.040057598,-0.015074556,1.04E-05,0.013918381,0,0,0,0
,,,,,,,,,,,,,,,,
25,6400,43.33510754,143,0,0,0,0,1.903851449,-0.026214074,-0.00633275,3.89E-06,0.007941933,0,0,0,0
,,,,,,,,,,,,,,,,
26,6656,42.739897,149,0,0,0,0,1.921213925,-0.034779085,-0.008000372,2.61E-06,0.007956133,0,0,0,0
,,,,,,,,,,,,,,,,
27,6912,42.98671547,155,-0.5,0.5,-1,0,1.916905403,-0.043962447,0.02270907,0.013295606,0.007796885,-0.5,0.5,-1,0
,,,,,,,,,,,,,,,,
28,7168,42.57795718,161,-1,0,-1,-1,1.923574626,-0.029228355,-0.006150182,1.36E-05,0.011140898,-1,0,-1,-1
,,,,,,,,,,,,,,,,
29,7424,41.79135371,167,0,0,0,0,1.916999936,-0.01904857,-0.010549108,3.18E-05,0.023159867,0,0,0,0
,,,,,,,,,,,,,,,,
30,7680,42.72679292,173,-0.5,0.5,-1,0,1.890072525,-0.079286356,0.042902639,0.007873275,0.014806695,-0.5,0.5,-1,0
,,,,,,,,,,,,,,,,
31,7936,43.04011919,179,-1,0,-1,-1,1.879522026,-0.045862047,-0.011112961,1.93E-05,0.020679819,-1,0,-1,-1
,,,,,,,,,,,,,,,,
32,8192,42.41645234,185,0,0,0,0,1.874850154,-0.042793447,-0.016599569,0.000225102,0.021450855,0,0,0,0
,,,,,,,,,,,,,,,,
33,8448,44.64491726,191,0,0,0,0,1.905753434,-0.029888852,-0.008690219,1.44E-05,0.014882872,0,0,0,0
,,,,,,,,,,,,,,,,
34,8704,43.42385977,197,0,0,0,0,1.851055145,-0.123013217,-0.038038425,0.004288342,0.117343354,0,0,0,0
,,,,,,,,,,,,,,,,
35,8960,43.35212986,203,0,0,0,0,1.882765949,-0.035301974,-0.01227976,3.97E-05,0.018153528,0,0,0,0
,,,,,,,,,,,,,,,,
36,9216,44.52851149,208,0,0,0,0,1.863738239,-0.062306888,-0.020142816,0.000727908,0.036667625,0,0,0,0
,,,,,,,,,,,,,,,,
37,9472,44.43721587,214,0,0,0,0,1.88310957,-0.034016808,-0.00837526,8.28E-05,0.031925706,0,0,0,0
,,,,,,,,,,,,,,,,
38,9728,45.11987582,220,0,0,0,0,1.918213367,-0.034854181,-0.009377099,1.23E-05,0.011592268,0,0,0,0
,,,,,,,,,,,,,,,,
39,9984,44.26481971,226,0,0,0,0,1.914377093,-0.033602031,-0.011074101,5.39E-05,0.010761188,0,0,0,0
,,,,,,,,,,,,,,,,
40,10240,42.5550582,232,0,0,0,0,1.909438908,-0.028923388,-0.006815381,1.62E-05,0.008879549,0,0,0,0
,,,,,,,,,,,,,,,,
41,10496,43.28938555,238,0,0,0,0,1.897200167,-0.019787006,-0.009087385,9.85E-06,0.011829636,0,0,0,0
,,,,,,,,,,,,,,,,
42,10752,43.22298573,244,0,0,0,0,1.925894558,-0.013734997,-0.005053125,3.97E-06,0.00554363,0,0,0,0
,,,,,,,,,,,,,,,,
43,11008,41.75551208,250,0,0,0,0,1.936330736,-0.012146051,-0.002541324,6.90E-07,0.003106765,0,0,0,0
,,,,,,,,,,,,,,,,
44,11264,41.21218061,256,0,0,0,0,1.930312514,-0.009759432,-0.00330029,2.77E-06,0.004068434,0,0,0,0
,,,,,,,,,,,,,,,,
45,11520,41.72331297,262,0,0,0,0,1.935834408,-0.012025873,-0.00363109,1.21E-06,0.003837628,0,0,0,0
,,,,,,,,,,,,,,,,
46,11776,40.87588092,268,0,0,0,0,1.934139967,-0.008397547,-0.001980789,8.30E-07,0.003284091,0,0,0,0
,,,,,,,,,,,,,,,,
47,12032,40.55612814,275,0,0,0,0,1.938421607,-0.006837268,-0.00163547,2.49E-07,0.002534421,0,0,0,0
,,,,,,,,,,,,,,,,
48,12288,42.21860048,281,0,0,0,0,1.940300882,-0.005638736,-0.002066907,8.77E-07,0.002365615,0,0,0,0
,,,,,,,,,,,,,,,,
49,12544,42.46999308,287,0,0,0,0,1.941304982,-0.005158075,-0.001192276,1.71E-07,0.000940791,0,0,0,0
,,,,,,,,,,,,,,,,
50,12800,42.29452402,293,0,0,0,0,1.941846013,-0.004000326,-0.001198184,3.94E-07,0.001605047,0,0,0,0
,,,,,,,,,,,,,,,,
51,13056,42.03076773,299,-1,0,-1,-1,1.923617125,-0.036104597,0.043463118,0.015008699,0.011508565,-1,0,-1,-1
,,,,,,,,,,,,,,,,
52,13312,42.36932673,305,0,0,0,0,1.943864584,-0.002213028,-0.000721804,3.41E-07,0.001156475,0,0,0,0
,,,,,,,,,,,,,,,,
53,13568,42.38853355,311,0,0,0,0,1.920465171,-0.025674137,-0.003572381,3.52E-05,0.01388457,0,0,0,0
,,,,,,,,,,,,,,,,
54,13824,42.6642949,317,0,0,0,0,1.848080516,-0.094086431,-0.024793886,0.00057772,0.047956661,0,0,0,0
,,,,,,,,,,,,,,,,
55,14080,42.78608294,323,0,0,0,0,1.894909978,-0.056725049,-0.018995764,0.000168397,0.034300215,0,0,0,0
,,,,,,,,,,,,,,,,
56,14336,41.37256725,329,0,0,0,0,1.906376541,-0.044930598,-0.011088683,1.66E-05,0.012769471,0,0,0,0
,,,,,,,,,,,,,,,,
57,14592,41.94418527,335,0,0,0,0,1.896492004,-0.034573525,-0.010946769,1.55E-05,0.017779587,0,0,0,0
,,,,,,,,,,,,,,,,
58,14848,42.286339,341,0,0,0,0,1.905770838,-0.028571245,-0.008856383,2.31E-06,0.008735901,0,0,0,0
,,,,,,,,,,,,,,,,
59,15104,42.06074436,347,0,0,0,0,1.92957288,-0.027335773,-0.005629587,7.59E-07,0.004046591,0,0,0,0
,,,,,,,,,,,,,,,,
60,15360,41.97114263,353,0,0,0,0,1.914994776,-0.021226286,-0.005667305,3.61E-06,0.006423498,0,0,0,0
,,,,,,,,,,,,,,,,
61,15616,42.08353984,360,-1,0,-1,-1,1.849917471,-0.137944028,0.183955289,0.075145561,0.11309491,-1,0,-1,-1
,,,,,,,,,,,,,,,,
62,15872,42.82704372,366,-1,0,-1,-1,1.874826968,-0.051355727,-0.025764571,0.000150706,0.058505453,-1,0,-1,-1
,,,,,,,,,,,,,,,,
63,16128,42.69901777,372,0,0,0,0,1.87647891,-0.04805677,-0.004265291,0.000202434,0.013076451,0,0,0,0
,,,,,,,,,,,,,,,,
64,16384,41.81671595,378,0,0,0,0,1.91081506,-0.022736165,-0.014042302,3.49E-05,0.011275133,0,0,0,0
,,,,,,,,,,,,,,,,
65,16640,42.02325682,384,0,0,0,0,1.897192478,-0.029064209,-0.008539284,3.97E-05,0.009577241,0,0,0,0
,,,,,,,,,,,,,,,,
66,16896,41.95222524,390,0,0,0,0,1.904411614,-0.024813561,-0.007876696,3.30E-05,0.008821323,0,0,0,0
,,,,,,,,,,,,,,,,
67,17152,41.63118986,396,0,0,0,0,1.916481316,-0.016420472,-0.004198991,9.40E-06,0.005283957,0,0,0,0
,,,,,,,,,,,,,,,,
68,17408,41.78908802,402,0,0,0,0,1.905588448,-0.022040614,-0.006946904,1.13E-05,0.005306208,0,0,0,0
,,,,,,,,,,,,,,,,
69,17664,42.34607873,408,0,0,0,0,1.927615285,-0.017668827,-0.004226992,2.31E-06,0.002308555,0,0,0,0
,,,,,,,,,,,,,,,,
70,17920,41.40693024,414,-1,0,-1,-1,1.914516807,-0.050781233,0.046182398,0.014752542,0.008008699,-1,0,-1,-1
,,,,,,,,,,,,,,,,
71,18176,41.08312054,421,0,0,0,0,1.936192811,-0.012085961,-0.003473838,4.19E-06,0.003539458,0,0,0,0
,,,,,,,,,,,,,,,,
72,18432,40.46497003,427,0,0,0,0,1.877788424,-0.045735998,-0.013099674,0.000228319,0.027669508,0,0,0,0
,,,,,,,,,,,,,,,,
73,18688,40.31502632,433,0,0,0,0,1.909457147,-0.022743278,-0.008625761,2.20E-05,0.010986962,0,0,0,0
,,,,,,,,,,,,,,,,
74,18944,41.30777801,440,0,0,0,0,1.909139514,-0.021558812,-0.007868381,3.08E-05,0.009212435,0,0,0,0
,,,,,,,,,,,,,,,,
