update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,return_mean,return_std,return_min,return_max
,,,,,,,,,,,,,
1,256,43.5926453,5,0,0,0,0,"['-0.010', 'None', 'None']","['0.000', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
2,512,44.61364781,11,-0.5,0.5,-1,0,"['0.041', 'None', 'None']","['0.016', 'None', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
3,768,40.80861626,17,3,0,3,3,"['-1.113', '-0.238', 'None']","['0.739', '0.010', 'None']",0,0,0,0
,,,,,,,,,,,,,
4,1024,46.06242419,23,0,0,0,0,"['0.085', 'None', 'None']","['0.000', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
5,1280,41.63434411,29,3,0,3,3,"['-0.822', '-0.208', 'None']","['0.374', '0.002', 'None']",0,0,0,0
,,,,,,,,,,,,,
6,1536,41.75263007,35,1,2,-1,3,"['0.077', '-0.127', 'None']","['0.151', '0.006', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
7,1792,41.18601056,41,3,0,3,3,"['-0.709', '-0.136', 'None']","['0.294', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
8,2048,45.36073578,47,-0.5,0.5,-1,0,"['0.177', 'None', 'None']","['0.087', 'None', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
9,2304,40.97062776,53,1,2,-1,3,"['-0.050', '-0.108', 'None']","['0.263', '0.001', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
10,2560,41.19664213,60,3,0,3,3,"['-0.175', '-0.097', 'None']","['0.075', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
11,2816,41.62132827,66,3,0,3,3,"['-0.599', '-0.079', 'None']","['0.247', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
12,3072,41.59854393,72,3,0,3,3,"['-0.235', '-0.063', 'None']","['0.080', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
13,3328,41.35545491,78,3,0,3,3,"['-0.031', '-0.050', 'None']","['0.034', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
14,3584,46.2197001,84,0,0,0,0,"['0.211', 'None', 'None']","['0.007', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
15,3840,40.34020242,90,3,0,3,3,"['0.073', '-0.014', 'None']","['0.051', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
16,4096,34.41192446,97,6,0,6,6,"['-0.573', '-0.335', '0.020']","['0.195', '0.348', '0.004']",0,0,0,0
,,,,,,,,,,,,,
17,4352,39.06054567,104,6,0,6,6,"['0.103', '-0.566', '0.030']","['0.062', '0.582', '0.000']",0,0,0,0
,,,,,,,,,,,,,
18,4608,38.17629394,111,3,0,3,3,"['-0.437', '0.000', 'None']","['0.062', '0.000', 'None']",0,0,0,0
,,,,,,,,,,,,,
19,4864,39.01250306,117,6,0,6,6,"['-0.005', '-0.607', '0.027']","['0.026', '0.632', '0.000']",0,0,0,0
,,,,,,,,,,,,,
20,5120,34.70185535,125,6,0,6,6,"['-0.832', '-0.249', '0.028']","['0.251', '0.168', '0.000']",0,0,0,0
,,,,,,,,,,,,,
21,5376,35.01590049,132,6,0,6,6,"['0.183', '-0.308', '0.019']","['0.070', '0.250', '0.000']",0,0,0,0
,,,,,,,,,,,,,
22,5632,35.91106056,139,6,0,6,6,"['-2.464', '-2.571', '0.022']","['3.501', '4.219', '0.000']",0,0,0,0
,,,,,,,,,,,,,
23,5888,35.97032733,146,6,0,6,6,"['-0.371', '0.576', '0.016']","['0.028', '0.257', '0.000']",0,0,0,0
,,,,,,,,,,,,,
24,6144,35.61439297,153,5.5,0.5,5,6,"['-0.088', '0.448', '0.066']","['0.031', '0.112', '0.023']",-1,0,-1,-1
,,,,,,,,,,,,,
25,6400,35.26301662,161,6,0,6,6,"['0.080', '0.033', '0.008']","['0.005', '0.002', '0.000']",0,0,0,0
,,,,,,,,,,,,,
26,6656,35.15036398,168,6,0,6,6,"['0.056', '0.004', '0.007']","['0.034', '0.000', '0.000']",0,0,0,0
,,,,,,,,,,,,,
27,6912,34.80519813,175,5.5,0.5,5,6,"['0.520', '0.014', '0.043']","['0.268', '0.180', '0.019']",-1,0,-1,-1
,,,,,,,,,,,,,
28,7168,35.13388341,183,6,0,6,6,"['0.543', '-0.026', '-0.025']","['0.339', '0.002', '0.000']",0,0,0,0
,,,,,,,,,,,,,
29,7424,34.14943685,190,4.707499981,1.707499981,3,6.414999962,"['-0.200', '-0.064', '-0.051']","['0.101', '0.025', '0.002']",0.414999992,0,0.414999992,0.414999992
,,,,,,,,,,,,,
30,7680,33.94053529,198,6,0,6,6,"['0.190', '-0.175', '-0.013']","['0.021', '0.005', '0.000']",0,0,0,0
,,,,,,,,,,,,,
31,7936,33.62754353,205,6,0,6,6,"['0.128', '-0.218', '-0.013']","['0.169', '0.004', '0.000']",0,0,0,0
,,,,,,,,,,,,,
32,8192,33.50450296,213,6,0,6,6,"['-0.035', '-0.161', '-0.008']","['0.010', '0.007', '0.000']",0,0,0,0
,,,,,,,,,,,,,
33,8448,32.56333732,221,6.425394773,0.425394773,6,6.850789547,"['0.242', '-0.192', '-0.091']","['0.140', '0.006', '0.016']",0.850789487,0,0.850789487,0.850789487
,,,,,,,,,,,,,
34,8704,36.03749902,228,6,0,6,6,"['0.661', '0.112', '0.003']","['0.393', '0.009', '0.000']",0,0,0,0
,,,,,,,,,,,,,
35,8960,32.46998719,236,5.5,0.5,5,6,"['0.249', '-0.046', '0.080']","['0.180', '0.003', '0.026']",-1,0,-1,-1
,,,,,,,,,,,,,
36,9216,31.16248894,244,2.5,3.5,-1,6,"['0.904', '-0.014', '-0.001']","['1.554', '0.002', '0.000']",-1,0,-1,-1
,,,,,,,,,,,,,
37,9472,34.70049164,251,6,0,6,6,"['-0.002', '0.330', '-0.003']","['0.185', '0.124', '0.000']",0,0,0,0
,,,,,,,,,,,,,
38,9728,32.3569625,259,6,0,6,6,"['-1.187', '-0.501', '-0.002']","['1.115', '0.075', '0.000']",0,0,0,0
,,,,,,,,,,,,,
39,9984,31.74352163,267,2.5,3.5,-1,6,"['2.001', '0.094', '0.001']","['7.301', '0.014', '0.000']",-1,0,-1,-1
,,,,,,,,,,,,,
40,10240,31.69277091,275,5.5,0.5,5,6,"['0.063', '-0.060', '0.086']","['0.391', '0.013', '0.029']",-1,0,-1,-1
,,,,,,,,,,,,,
41,10496,31.59611469,284,6,0,6,6,"['-0.161', '-0.002', '-0.010']","['0.076', '0.004', '0.000']",0,0,0,0
,,,,,,,,,,,,,
42,10752,33.0619515,291,3,0,3,3,"['0.034', '0.323', 'None']","['0.020', '0.095', 'None']",0,0,0,0
,,,,,,,,,,,,,
43,11008,31.20577879,300,6,0,6,6,"['0.536', '-0.148', '-0.010']","['0.230', '0.122', '0.000']",0,0,0,0
,,,,,,,,,,,,,
44,11264,39.27321609,306,0,0,0,0,"['0.571', 'None', 'None']","['0.365', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
45,11520,31.28425121,314,6,0,6,6,"['-0.881', '-0.058', '-0.006']","['0.840', '0.003', '0.000']",0,0,0,0
,,,,,,,,,,,,,
46,11776,39.42210712,321,0,0,0,0,"['0.472', 'None', 'None']","['0.193', 'None', 'None']",0,0,0,0
,,,,,,,,,,,,,
47,12032,33.89147317,328,0.333333333,1.247219129,-1,2,"['0.242', '1.113', 'None']","['0.738', '2.111', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
48,12288,31.05607733,337,4.850789547,1.850789547,3,6.701579094,"['-0.047', '-0.277', '-0.133']","['0.477', '0.365', '0.011']",0.701578975,0,0.701578975,0.701578975
,,,,,,,,,,,,,
49,12544,34.05101498,344,3,0,3,3,"['-1.201', '0.244', 'None']","['0.797', '0.081', 'None']",0,0,0,0
,,,,,,,,,,,,,
50,12800,35.3792413,351,6,0,6,6,"['0.580', '-0.124', '-0.004']","['0.515', '0.133', '0.000']",0,0,0,0
,,,,,,,,,,,,,
51,13056,34.90966899,359,1,2,-1,3,"['0.632', '0.168', 'None']","['0.745', '0.006', 'None']",-1,0,-1,-1
,,,,,,,,,,,,,
52,13312,31.13868955,367,2.5,3.5,-1,6,"['0.612', '-0.520', '-0.024']","['0.978', '0.199', '0.000']",-1,0,-1,-1
,,,,,,,,,,,,,
53,13568,32.07188123,375,3.212236881,3.212236881,0,6.424473763,"['-0.286', '-1.686', '-0.042']","['0.325', '1.466', '0.002']",0.424473673,0,0.424473673,0.424473673
,,,,,,,,,,,,,
54,13824,31.32384074,383,4,1,3,5,"['-0.215', '0.091', '0.324']","['0.314', '0.015', '0.099']",-1,0,-1,-1
,,,,,,,,,,,,,
55,14080,34.16726895,390,3,0,3,3,"['-0.057', '0.242', 'None']","['0.330', '0.075', 'None']",0,0,0,0
