update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
1,256,83.7457404583725,3,0.0,0.0,0.0,0.0,"['None', 'None', '0.063']","['None', 'None', '0.000']",0.025730777299031615,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
2,512,83.9736487706086,6,-0.15078947941462198,0.6407516227382403,-1.0,0.547631561756134,"['None', 'None', '0.070']","['None', 'None', '0.033']",0.11540883174166083,-0.22618421912193298,0.773815780878067,-1.0,0.547631561756134
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
3,768,87.70257398702654,9,-0.5,0.5,-1.0,0.0,"['None', 'None', '0.083']","['None', 'None', '0.022']",0.07164920773357153,-1.0,0.0,-1.0,-1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
4,1024,101.44236064949303,11,0.0,0.0,0.0,0.0,"['None', 'None', '0.005']","['None', 'None', '0.000']",0.0257346581784077,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
5,1280,83.57681314417393,14,-0.1334210435549418,0.6598688727947108,-1.0,0.5997368693351746,"['None', 'None', '0.021']","['None', 'None', '0.024']",0.11550767836160958,-0.20013156533241272,0.7998684346675873,-1.0,0.5997368693351746
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
6,1536,92.22137971964487,17,-0.04894737402598063,0.7573398242947375,-1.0,0.8531578779220581,"['None', 'None', '-0.012']","['None', 'None', '0.020']",0.11508751101791859,-0.07342106103897095,0.926578938961029,-1.0,0.8531578779220581
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
7,1792,101.96919315092286,19,0.0,0.0,0.0,0.0,"['None', 'None', '-0.002']","['None', 'None', '0.000']",0.025772910652449355,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
8,2048,98.25382062719129,22,0.0,0.0,0.0,0.0,"['None', 'None', '-0.002']","['None', 'None', '0.000']",0.025655560690211132,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
9,2304,94.70233728471095,25,0.5719298322995504,0.4110375493385603,0.0,0.9478947520256042,"['None', 'None', '-0.117']","['None', 'None', '0.021']",0.10969494888558984,0.8578947484493256,0.09000000357627869,0.7678947448730469,0.9478947520256042
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
10,2560,82.77344963666515,28,0.47166667381922406,0.36178869653425466,0.0,0.8792105317115784,"['None', 'None', '-0.047']","['None', 'None', '0.003']",0.10967372101731598,0.7075000107288361,0.1717105209827423,0.5357894897460938,0.8792105317115784
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
11,2816,94.45307702538848,31,0.0,0.0,0.0,0.0,"['None', 'None', '0.033']","['None', 'None', '0.000']",0.02588808600557968,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
12,3072,87.55080627262375,33,0.636315792798996,0.37391880551043943,0.0,0.9431579113006592,"['None', 'None', '-0.105']","['None', 'None', '0.009']",0.1444748193025589,0.848421057065328,0.08041014634055606,0.7465789318084717,0.9431579113006592
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
13,3328,84.67053264025589,36,0.6853684186935425,0.3528985083838378,0.0,0.9526315927505493,"['None', 'None', '-0.139']","['None', 'None', '0.012']",0.17716859001666307,0.8567105233669281,0.09423965383475716,0.7086842060089111,0.9526315927505493
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
14,3584,84.72688845934846,39,0.737017552057902,0.3355591933862661,0.0,0.9668421149253845,"['None', 'None', '-0.081']","['None', 'None', '0.007']",0.20846177637577057,0.8844210624694824,0.06894343644835599,0.7678947448730469,0.9668421149253845
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
15,3840,83.04635804819502,43,0.617192977004581,0.6429674462736984,-1.0,0.9786841869354248,"['None', 'None', '-0.001']","['None', 'None', '0.044']",0.30433949176222086,0.6943420991301537,0.6414944627087343,-1.0,0.9786841869354248
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
16,4096,87.88230106958179,45,0.8610765554688193,0.2741162741439812,0.0,0.9810526371002197,"['None', 'None', '-0.076']","['None', 'None', '0.007']",0.3427298506721854,0.9471842110157013,0.03307405545213588,0.8578947186470032,0.9810526371002197
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
17,4352,87.34731280606366,48,0.9025657810270786,0.2332647293355094,0.0,0.9786841869354248,"['None', 'None', '-0.090']","['None', 'None', '0.002']",0.45440664514899254,0.9627368330955506,0.01053762005095315,0.9360526204109192,0.9786841869354248
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
18,4608,85.78993287121337,51,0.909690401133369,0.22758341100828625,0.0,0.9810526371002197,"['None', 'None', '-0.020']","['None', 'None', '0.000']",0.47431505843997,0.9665460512042046,0.008817196943348773,0.9478947520256042,0.9810526371002197
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
19,4864,96.57214387564704,54,0.6082456111907959,0.4318300658476653,0.0,0.9597368240356445,"['None', 'None', '0.066']","['None', 'None', '0.002']",0.11045037652365863,0.9123684167861938,0.047368407249450684,0.8650000095367432,0.9597368240356445
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,policy_loss,value_loss,State_NN_loss,return_mean,return_std,return_min,return_max
